econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
reserves,dolar | reservas,7,content:5d61f1d5444bf9f045e4f0be888088af60a609d8,"Reforma laboral, dólar y reservas: los tres frentes que definen la semana del Gobierno de Milei",La Gaceta,2026-02-22 21:13:00+00:00,,2026-02-23 00:00:00+00:00,2026-02-23 12:00:00+00:00,7,All Topics,4h,data/output_digests/headlines_4h_window_20260223T00_All_Topics_03.md
reserves,banco central | dolar | reservas,7,content:040116803205d12dbcee69c5521e1965ed775cb9,Crecen las reservas del Banco Central y baja el dólar: las claves,El Litoral,2026-02-22 19:25:00+00:00,,2026-02-23 00:00:00+00:00,2026-02-23 08:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20260223T00_All_Topics_02.md
reserves,dolar | reservas,7,content:9953f4c3ed6a3ace0ce014dfccce1c3a60397b34,"Alberto Ades, economista de Wall Street: “Argentina necesita un dólar alto para generar empleo de calidad, juntar reservas y abrir la economía""",Clarin.com,2026-02-22 09:01:00+00:00,,2026-02-23 00:00:00+00:00,2026-02-23 00:00:00+00:00,1,All Topics,8h,data/output_digests/headlines_8h_window_20260223T00_All_Topics_01.md
debt,dolar | riesgo pais,7,content:4f6bd6393d46942c887672e925601711850f9185,"Dólar, riesgo país y acciones: así operó hoy el mercado en medio de la cumbre entre Donald Trump y Javier Milei",TN,2025-10-14 22:31:00+00:00,,2025-10-15 04:00:00+00:00,2025-10-15 04:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251015T04_All_Topics_04.md
debt,dolar | riesgo pais,7,content:199d323f41aa4734dbd9ee3761fc36c990f59b5e,"Dólar, riesgo país y acciones: así opera hoy el mercado en medio de la cumbre entre Donald Trump y Javier Milei",TN,2025-10-14 20:19:00+00:00,,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251015T00_All_Topics_05.md
external,comercio exterior,5,content:1d813fa090099c7dc124845c0014fe17c6d71192,"Swap, dolarización, comercio exterior y apoyo financiero: las definiciones económicas de la cumbre entre Milei y Trump",TN,2025-10-14 20:18:00+00:00,,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251015T00_All_Topics_05.md
debt,licitacion del tesoro | tasas de interes,7,content:4a2c32112ff5126b24347189e9b265ffa81c7be9,Se disparan las tasas de interés antes de una licitación del Tesoro y en medio de la expectativa ante la cumbre Trump-Milei,Infobae,2025-10-14 17:40:00+00:00,,2025-10-15 00:00:00+00:00,2025-10-15 00:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251015T00_All_Topics_02.md
debt,deuda | salarios,7,content:ceb75f40b555633d718eb67c0406671f91286101,"Argentina. El drama económico que el pacto Milei-Trump no resolverá: salarios a la baja, deuda familiar y crisis de consumo",Resumen Latinoamericano -,2025-10-14 15:06:00+00:00,,2025-10-14 20:00:00+00:00,2025-10-14 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251014T20_All_Topics_05.md
reserves,banco central | dolar,7,content:f3d2574de564535d8a27eb5d9be3e5bca7f09c7b,Dólar: un director del Banco Central reveló qué pasará después de las elecciones,El Cronista,2025-10-14 13:38:00+00:00,,2025-10-14 16:00:00+00:00,2025-10-14 20:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20251014T16_All_Topics_06.md
reserves,bcra | dolar | reservas,7,content:e48d1d0ad4a5533046067df3d0f2931534638316,Dólar en caída: por qué Caputo sigue con miedo a fortalecer reservas del BCRA,iProfesional,2025-10-14 09:58:00+00:00,,2025-10-14 16:00:00+00:00,2025-10-14 16:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20251014T16_All_Topics_01.md
